Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls,FoulsDrawn,Offsides,Crosses,Interceptions,TklWon,PKwon,PKconceded,OG,Recoveries,AerialDuelsWon,AerialDuelsLost,AerialDuelsWon%
Rodrigo Abajas,ESP,DF,Valencia,La Liga,21-179,2003,0.7,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0
James Abankwah,IRL,DF,Udinese,Serie A,20-296,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18-216,2006,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,37-040,1987,6.4,1,0,0,9,4,0,0,5,7,0,0,0,21,10,6,62.5
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24-356,1999,9.8,1,0,0,15,10,1,22,7,12,0,0,0,58,6,7,46.2
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25-280,1999,4.8,2,0,0,2,3,0,0,11,10,0,0,0,25,9,10,47.4
Ali Abdi,TUN,DF,Nice,Ligue 1,30-323,1993,5.5,1,0,0,9,3,1,16,2,9,0,0,0,27,7,6,53.8
Abel,ESP,DF,Osasuna,La Liga,24-078,2000,8.1,2,0,0,7,10,0,24,8,15,0,0,0,39,8,6,57.1
Nabil Aberdin,FRA,MF,Getafe,La Liga,22-076,2002,2.9,1,0,0,7,6,0,0,0,4,0,0,0,8,10,3,76.9
Oliver Abildgaard,DEN,MF,Como,Serie A,28-150,1996,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Matthis Abline,FRA,FW,Nantes,Ligue 1,21-224,2003,8.0,1,0,0,9,13,1,8,0,3,0,0,0,18,11,17,39.3
Abner,BRA,DF,Lyon,Ligue 1,24-164,2000,6.2,1,0,0,9,1,0,20,5,8,0,0,0,24,3,4,42.9
Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,24-263,2000,8.2,1,0,0,15,8,2,17,2,4,0,0,0,20,13,12,52.0
Abdel Abqar,MAR,DF,Alavés,La Liga,25-242,1999,9.5,6,0,0,25,5,1,2,19,6,1,0,0,23,12,12,50.0
Tammy Abraham,ENG,FW,Roma,Serie A,27-036,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0
Tammy Abraham,ENG,FW,Milan,Serie A,27-036,1997,3.9,0,0,0,9,2,0,1,1,1,1,0,0,3,5,7,41.7
Federico Accornero,ITA,MF,Genoa,Serie A,20-276,2004,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0
Francesco Acerbi,ITA,DF,Inter,Serie A,36-271,1988,6.3,0,0,0,3,8,0,3,11,4,0,0,0,16,20,9,69.0
Akor Adams,NGA,FW,Montpellier,Ligue 1,24-283,2000,8.8,2,0,0,15,6,12,4,1,1,1,0,0,19,19,18,51.4
Che Adams,SCO,FW,Torino,Serie A,28-117,1996,7.5,0,0,0,6,11,7,2,0,3,0,0,0,11,12,18,40.0
Tyler Adams,USA,MF,Bournemouth,Premier League,25-267,1999,0.4,1,0,0,1,0,0,0,1,0,0,0,0,3,0,0,
Junior Adamu,AUT,FW,Freiburg,Bundesliga,23-154,2001,7.8,3,0,0,17,14,8,2,5,0,0,0,0,24,22,55,28.6
Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,27-044,1997,1.9,1,0,0,2,0,0,0,1,2,0,0,0,7,0,0,
Martin Adeline,FRA,MF,Reims,Ligue 1,20-341,2003,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0
Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,22-294,2002,3.4,0,0,0,5,3,0,1,1,5,0,0,0,12,1,3,25.0
Simon Adingra,CIV,"FW,MF",Brighton,Premier League,22-311,2002,1.6,0,0,0,2,0,0,10,2,2,0,0,0,10,1,1,50.0
Amine Adli,MAR,MF,Leverkusen,Bundesliga,24-181,2000,2.3,1,0,0,2,7,0,11,0,4,2,0,0,12,6,4,60.0
Yacine Adli,FRA,MF,Fiorentina,Serie A,24-101,2000,3.6,1,0,0,1,9,0,15,2,5,0,0,0,23,3,3,50.0
Adryelson,BRA,DF,Lyon,Ligue 1,26-229,1998,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0
Vasilije Adžić,MNE,MF,Juventus,Serie A,18-179,2006,0.2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,
Michel Aebischer,SUI,MF,Bologna,Serie A,27-306,1997,4.2,0,0,0,8,8,0,6,5,4,0,0,0,18,3,6,33.3
Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26-269,1998,5.9,0,0,0,9,13,1,16,4,5,0,0,0,24,6,20,23.1
Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27-143,1997,10.0,2,0,0,9,3,0,0,9,15,0,0,0,58,11,9,55.0
Asher Agbinone,ENG,MF,Crystal Palace,Premier League,19-040,2005,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0
Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23-317,2000,8.4,0,1,0,2,1,0,0,0,0,0,1,0,11,5,0,100.0
