Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,DribTkl,DribTklAtt,DribTkl%,ChallengesLost,Blocks,ShotsBlocked,PassesBlocked,Int,Tkl+Int,Clr,ErrorsLeadingToShot
Rodrigo Abajas,ESP,DF,Valencia,La Liga,21-177,2003,0.7,3,2,2,1,0,3,3,100.0,0,1,0,1,1,4,0,0
James Abankwah,IRL,DF,Udinese,Serie A,20-294,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18-214,2006,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,37-038,1987,6.4,11,7,9,2,0,6,11,54.5,5,11,9,2,5,16,30,1
Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24-354,1999,9.8,17,12,5,6,6,6,19,31.6,13,7,0,7,7,24,9,0
Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25-278,1999,4.8,14,10,8,5,1,9,15,60.0,6,4,2,2,11,25,22,1
Ali Abdi,TUN,DF,Nice,Ligue 1,30-321,1993,5.5,15,9,6,4,5,13,20,65.0,7,13,3,10,2,17,12,0
Abel,ESP,DF,Osasuna,La Liga,24-076,2000,8.1,21,15,11,6,4,12,21,57.1,9,13,2,11,8,29,27,0
Nabil Aberdin,FRA,MF,Getafe,La Liga,22-074,2002,2.9,6,4,3,3,0,1,1,100.0,0,3,0,3,0,6,5,0
Oliver Abildgaard,DEN,MF,Como,Serie A,28-148,1996,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Matthis Abline,FRA,FW,Nantes,Ligue 1,21-222,2003,8.0,3,3,1,1,1,1,6,16.7,5,1,0,1,0,3,14,0
Abner,BRA,DF,Lyon,Ligue 1,24-162,2000,6.2,13,8,5,6,2,10,14,71.4,4,9,1,8,5,18,15,0
Zakaria Aboukhlal,MAR,"FW,MF",Toulouse,Ligue 1,24-261,2000,8.2,8,4,3,2,3,4,8,50.0,4,3,0,3,2,10,1,0
Abdel Abqar,MAR,DF,Alavés,La Liga,25-240,1999,9.5,10,6,5,5,0,3,9,33.3,6,7,3,4,19,29,41,0
Tammy Abraham,ENG,FW,Roma,Serie A,27-034,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Tammy Abraham,ENG,FW,Milan,Serie A,27-034,1997,3.9,4,1,0,4,0,0,0,,0,3,0,3,1,5,3,0
Federico Accornero,ITA,MF,Genoa,Serie A,20-274,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
