Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA/90,SCAPassLive,SCAPassDead,SCATakeOns,SCAShots,SCAFoulsDrawn,SCADefAction,GCA,GCA/90,GCAPassLive,GCAPassDead,GCATakeOns,GCAShots,GCAFoulsDrawn,GCADefAction
Patrick van Aanholt,NED,"MF,DF",PSV Eindhoven,32,1990,1.1,1,0.91,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Brenden Aaronson,USA,MF,Union Berlin,22,2000,1.5,1,0.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Salis Abdul Samed,GHA,MF,Lens,23,2000,5.5,12,2.18,10,0,0,0,1,1,0,0.00,0,0,0,0,0,0
Francesco Acerbi,ITA,DF,Inter,35,1988,4.7,2,0.46,2,0,0,0,0,0,1,0.23,1,0,0,0,0,0
Elias Achouri,TUN,"FW,MF",FC Copenhagen,24,1999,6.1,19,3.09,10,0,5,3,1,0,1,0.16,1,0,0,0,0,0
Marcos Acuña,ARG,DF,Sevilla,31,1991,2.2,1,0.45,1,0,0,0,0,0,1,0.45,1,0,0,0,0,0
Karim Adeyemi,GER,FW,Dortmund,21,2002,7.9,28,3.57,19,2,3,3,1,0,1,0.13,1,0,0,0,0,0
Yacine Adli,FRA,MF,Milan,23,2000,1.4,3,2.20,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ruben Aguilar,FRA,DF,Lens,30,1993,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Manuel Akanji,SUI,"DF,MF",Manchester City,28,1995,7.4,11,1.49,9,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Nathan Aké,NED,"DF,MF",Manchester City,28,1995,4.3,17,3.98,16,0,0,1,0,0,1,0.23,1,0,0,0,0,0
Kerem Aktürkoğlu,TUR,"MF,FW",Galatasaray,24,1998,4.9,17,3.48,10,5,1,1,0,0,0,0.00,0,0,0,0,0,0
David Alaba,AUT,DF,Real Madrid,31,1992,2.8,3,1.08,2,1,0,0,0,0,1,0.36,1,0,0,0,0,0
Luis Alberto,ESP,MF,Lazio,30,1992,7.1,39,5.48,26,12,1,0,0,0,2,0.28,2,0,0,0,0,0
Toby Alderweireld,BEL,DF,Antwerp,34,1989,5.0,8,1.60,5,1,1,1,0,0,0,0.00,0,0,0,0,0,0
Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,19,2004,1.5,2,1.37,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Miguel Almirón,PAR,FW,Newcastle Utd,29,1994,4.6,17,3.70,13,0,0,1,2,1,2,0.44,1,0,0,1,0,0
Marcos Alonso,ESP,"DF,FW",Barcelona,32,1990,1.5,2,1.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Barış Alper Yılmaz,TUR,"FW,MF",Galatasaray,23,2000,1.4,5,3.57,3,0,0,0,2,0,1,0.71,1,0,0,0,0,0
Julián Álvarez,ARG,"MF,FW",Manchester City,23,2000,3.1,27,9.64,12,9,2,4,0,0,4,1.43,2,1,1,0,0,0
Mohamed Aly Camara,GUI,DF,Young Boys,25,1997,5.0,4,0.80,3,0,1,0,0,0,3,0.60,2,0,1,0,0,0
Aurele Amenda,SUI,DF,Young Boys,20,2003,3.5,2,0.57,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,26,1996,3.6,4,1.11,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Elliot Anderson,ENG,MF,Newcastle Utd,20,2002,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Felipe Anderson,BRA,FW,Lazio,30,1993,6.0,17,2.82,16,0,1,0,0,0,1,0.17,1,0,0,0,0,0
Angeliño,ESP,DF,Galatasaray,26,1997,4.7,10,2.12,9,1,0,0,0,0,2,0.42,2,0,0,0,0,0
Peter Ankersen,DEN,DF,FC Copenhagen,32,1990,5.2,8,1.55,7,0,1,0,0,0,1,0.19,1,0,0,0,0,0
Antony,BRA,FW,Manchester Utd,23,2000,2.6,11,4.27,9,0,1,0,1,0,1,0.39,1,0,0,0,0,0
Jon Aramburu,VEN,DF,Real Sociedad,21,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ronald Araújo,URU,DF,Barcelona,24,1999,7.3,10,1.37,7,1,0,1,0,1,0,0.00,0,0,0,0,0,0
Tomás Araújo,POR,DF,Benfica,21,2002,1.8,3,1.68,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marko Arnautović,AUT,FW,Inter,34,1989,2.1,1,0.47,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kepa Arrizabalaga,ESP,GK,Real Madrid,28,1994,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Marco Asensio,ESP,"FW,MF",Paris S-G,27,1996,1.4,6,4.35,4,0,0,2,0,0,1,0.73,0,0,0,1,0,0
Kristjan Asllani,ALB,MF,Inter,21,2002,2.3,5,2.20,2,1,2,0,0,0,0,0.00,0,0,0,0,0,0
Otavio Ataide,BRA,DF,Porto,21,2002,2.3,1,0.50,1,0,0,0,0,0,1,0.50,1,0,0,0,0,0
